Timestamp,What is your relationship to Duke?,Where did you eat lunch today?,Where do you think you will eat lunch tomorrow?
4/11/2024 13:56:37,Graduate Student,Il Forno,Other
4/11/2024 13:59:08,Sophomore,Chef's Kitchen (Taste of San Fransico),Ginger and Soy
4/11/2024 14:00:16,Freshmen,Chef's Kitchen (Taste of San Fransico),Ginger and Soy
4/11/2024 14:00:50,Sophomore,Farmstead or Sprout,Gothic Grill
4/11/2024 14:01:15,Senior,The Commons,Tandoor
4/11/2024 14:04:27,Senior,Chef's Kitchen (Taste of San Fransico),Sazon
4/11/2024 14:05:26,Senior,Tandoor,Zweli's
4/11/2024 14:05:41,Sophomore,Il Forno,Ginger and Soy
4/11/2024 14:07:46,Sophomore,Zweli's,Tandoor
4/11/2024 14:09:05,Faculty/Staff,The Commons,Twinnie's
4/11/2024 14:09:20,Freshmen,Gothic Grill,Ginger and Soy
4/11/2024 14:10:08,Junior,Pitchforks,Other
4/11/2024 14:11:10,Junior,Il Forno,Sazon
4/11/2024 14:11:27,Sophomore,Sazon,JB's Roast and Chops
4/11/2024 14:11:46,Junior,JB's Roast and Chops,Ginger and Soy
4/11/2024 14:12:34,Sophomore,Other,Il Forno
4/11/2024 14:12:49,Sophomore,Ginger and Soy,Farmstead or Sprout
4/11/2024 14:13:21,Sophomore,Ginger and Soy,Farmstead or Sprout
4/11/2024 14:13:35,Sophomore,Other,Pitchforks
4/11/2024 14:13:54,Freshmen,Il Forno,Tandoor
4/11/2024 14:14:07,Sophomore,Sazon,JB's Roast and Chops
4/11/2024 14:14:18,Sophomore,Pitchforks,Ginger and Soy
4/11/2024 14:14:26,Sophomore,JB's Roast and Chops,Il Forno
4/11/2024 14:14:29,Sophomore,Panera,Ginger and Soy
4/11/2024 14:14:41,Sophomore,McDonalds,Il Forno
4/11/2024 14:14:51,Sophomore,Ginger and Soy,Ginger and Soy
4/11/2024 14:19:09,Freshmen,Skillet,Marketplace
4/11/2024 14:25:38,Senior,Zweli's,Tandoor
4/11/2024 14:25:41,Junior,Tandoor,Thyme
4/11/2024 14:29:03,Junior,Devil's Krafthouse,Panera
4/11/2024 14:29:59,Sophomore,Farmstead or Sprout,JB's Roast and Chops
4/11/2024 14:30:24,Sophomore,Sazon,Tandoor
4/11/2024 14:31:24,Freshmen,Tandoor,Ginger and Soy
4/11/2024 14:32:50,Sophomore,Thyme,Tandoor
4/11/2024 14:32:53,Freshmen,Tandoor,Il Forno
4/11/2024 14:33:16,Sophomore,JB's Roast and Chops,Ginger and Soy
4/11/2024 14:36:05,Sophomore,Thyme,Tandoor
4/11/2024 14:36:13,Sophomore,Sazon,Ginger and Soy
4/11/2024 14:37:02,Sophomore,Zweli's,Devil's Krafthouse
4/11/2024 14:38:25,Junior,Red Mango,Other
4/11/2024 14:42:44,Sophomore,Zweli's,Marketplace
4/11/2024 14:45:56,Freshmen,Skillet,Ginger and Soy
4/11/2024 14:50:19,Sophomore,Gothic Grill,Farmstead or Sprout
4/11/2024 14:52:22,Sophomore,Twinnie's,Red Mango
4/11/2024 14:53:11,Junior,Ginger and Soy,Ginger and Soy
4/11/2024 15:03:42,Freshmen,Marketplace,Devil's Krafthouse
4/11/2024 15:15:37,Senior,Red Mango,Sazon
4/11/2024 15:20:29,Junior,Cafe,Chef's Kitchen (Taste of San Fransico)
4/11/2024 15:21:37,Junior,Devil's Krafthouse,Chef's Kitchen (Taste of San Fransico)
4/11/2024 15:22:14,Sophomore,Tandoor,Panera
4/11/2024 15:25:02,Junior,Devil's Krafthouse,Chef's Kitchen (Taste of San Fransico)
4/11/2024 15:31:45,Sophomore,Gothic Grill,Red Mango
4/11/2024 15:32:48,Sophomore,Il Forno,Ginger and Soy
4/11/2024 15:33:57,Junior,Ginger and Soy,McDonalds
4/11/2024 15:34:03,Senior,Saladelia at Perkins,Ginger and Soy
4/11/2024 16:07:27,Junior,Panera,Thyme
4/11/2024 16:14:25,Sophomore,Sazon,Ginger and Soy
4/11/2024 16:41:04,Junior,Ginger and Soy,Other
4/11/2024 16:50:23,Freshmen,Tandoor,Gothic Grill
4/11/2024 16:58:10,Graduate Student,Other,Other
4/11/2024 17:12:49,Sophomore,Sazon,Sazon
4/11/2024 18:44:43,Sophomore,Farmstead or Sprout,Sazon
4/11/2024 20:03:53,Freshmen,Other,Ginger and Soy
4/11/2024 23:25:59,Freshmen,Il Forno,Tandoor
4/11/2024 23:28:27,Sophomore,Tandoor,Il Forno
4/11/2024 23:46:28,Sophomore,Other,Nasher Cafe
4/12/2024 6:47:38,Faculty/Staff,Other,JB's Roast and Chops
4/12/2024 7:45:51,Freshmen,Marketplace,Marketplace
4/12/2024 9:35:52,Senior,Other,Other
4/12/2024 9:51:59,Sophomore,Zweli's,Zweli's
4/12/2024 11:16:54,Sophomore,Thyme,Farmstead or Sprout
4/12/2024 11:26:36,Senior,Gothic Grill,Thyme
4/12/2024 13:33:48,Senior,Tandoor,Ginger and Soy
4/12/2024 17:33:58,Sophomore,Sazon,Il Forno
4/12/2024 17:34:12,Sophomore,Tandoor,Thyme
4/12/2024 17:34:35,Freshmen,Sazon,Marketplace
4/12/2024 18:33:35,Senior,Farmstead or Sprout,Devil's Krafthouse
4/13/2024 15:44:35,Junior,Il Forno,JB's Roast and Chops
4/13/2024 16:30:41,Senior,Devil's Krafthouse,Panera
4/13/2024 16:33:48,Graduate Student,Sazon,Il Forno
4/13/2024 16:36:27,Senior,JB's Roast and Chops,Other
4/13/2024 16:41:34,Senior,Panera,Panera
4/13/2024 16:46:13,Junior,Other,Other
4/13/2024 17:59:20,Graduate Student,Ginger and Soy,Ginger and Soy
4/13/2024 17:59:29,Graduate Student,Pitchforks,Ginger and Soy
4/13/2024 18:04:14,Junior,Ginger and Soy,Gothic Grill
4/13/2024 18:51:09,Senior,Il Forno,Tandoor
4/13/2024 21:00:57,Sophomore,Skillet,Skillet
4/14/2024 0:23:27,Sophomore,Thyme,Gothic Grill
4/14/2024 1:33:43,Sophomore,Pitchforks,Ginger and Soy
4/14/2024 11:51:31,Sophomore,Other,Other
4/14/2024 14:58:24,Senior,Other,Tandoor
